modpos_hex,order,row,ms,speed,bpm,note
0x0212,2,18,14620.0,5,125,
0x0213,2,19,14720.0,5,125,
0x0214,2,20,14820.0,5,125,
0x0215,2,21,14920.0,5,125,
0x0216,2,22,15020.0,5,125,
0x0217,2,23,15120.0,5,125,
0x0218,2,24,15220.0,5,125,
0x0219,2,25,15320.0,5,125,
0x021a,2,26,15420.0,5,125,
0x021b,2,27,15520.0,5,125,
0x021c,2,28,15620.0,5,125,
0x021d,2,29,15720.0,5,125,
0x021e,2,30,15820.0,5,125,
0x021f,2,31,15920.0,5,125,
0x0220,2,32,16020.0,5,125,
0x0221,2,33,16120.0,5,125,
0x0222,2,34,16220.0,5,125,
0x0223,2,35,16320.0,5,125,
0x0224,2,36,16420.0,5,125,
0x0225,2,37,16520.0,5,125,
0x0226,2,38,16620.0,5,125,
0x0227,2,39,16720.0,5,125,
0x0228,2,40,16820.0,5,125,
0x0229,2,41,16920.0,5,125,
0x022a,2,42,17020.0,5,125,
0x022b,2,43,17120.0,5,125,
0x022c,2,44,17220.0,5,125,
0x022d,2,45,17320.0,5,125,
0x022e,2,46,17420.0,5,125,
0x022f,2,47,17520.0,5,125,
0x0230,2,48,17620.0,5,125,
0x0231,2,49,17720.0,5,125,
0x0232,2,50,17820.0,5,125,
0x0233,2,51,17920.0,5,125,
0x0234,2,52,18020.0,5,125,
0x0235,2,53,18120.0,5,125,
0x0236,2,54,18220.0,5,125,
0x0237,2,55,18320.0,5,125,
0x0238,2,56,18420.0,5,125,
0x0239,2,57,18520.0,5,125,
0x023a,2,58,18620.0,5,125,
0x023b,2,59,18720.0,5,125,
0x023c,2,60,18820.0,5,125,
0x023d,2,61,18920.0,5,125,
0x023e,2,62,19020.0,5,125,
0x023f,2,63,19120.0,5,125,
0x0300,3,0,19220.0,5,125,
0x0301,3,1,19320.0,5,125,
0x0302,3,2,19420.0,5,125,
0x0303,3,3,19520.0,5,125,
0x0304,3,4,19620.0,5,125,
0x0305,3,5,19720.0,5,125,
0x0306,3,6,19820.0,5,125,
0x0307,3,7,19920.0,5,125,
0x0308,3,8,20020.0,5,125,
0x0309,3,9,20120.0,5,125,
0x030a,3,10,20220.0,5,125,
0x030b,3,11,20320.0,5,125,
0x030c,3,12,20420.0,5,125,
0x030d,3,13,20520.0,5,125,
0x030e,3,14,20620.0,5,125,
0x030f,3,15,20720.0,5,125,
0x0310,3,16,20820.0,5,125,
0x0311,3,17,20920.0,5,125,
